,1. open,2. high,3. low,4. close,5. volume
2016-06-30,133.58,141.31,133.02,141.2,76463115.0
2016-07-29,141.16,144.48,139.32,143.2,71181693.0
2016-08-31,143.42,144.16,135.55,136.05,50523902.0
2016-09-30,136.82,141.78,132.39,140.0,67532220.0
2016-10-31,139.35,146.36,133.03,141.33,82023354.0
2016-11-30,141.51,159.76,136.22,158.32,96191309.0
2016-12-30,159.12,164.0,156.23,160.04,76784612.0
2017-01-31,161.13,163.8,156.09,162.1,72827837.0
2017-02-28,162.75,166.76,156.49,165.38,72700333.0
2017-03-31,166.72,172.14,162.74,164.01,84728788.0
2017-04-28,164.62,176.07,164.25,174.88,61062597.0
2017-05-31,175.0,178.89,166.65,175.18,62990645.0
2017-06-30,175.78,188.66,175.19,185.42,64667674.0
2017-07-31,186.29,193.0,183.86,191.81,55358151.0
2017-08-31,193.4,199.49,190.63,198.9,49985387.0
2017-09-29,199.79,200.76,188.25,195.85,56972628.0
2017-10-31,196.59,212.77,186.0,210.22,78087204.0
2017-11-30,211.62,228.75,208.92,228.17,50583864.0
2017-12-29,228.89,231.77,218.19,220.46,54351155.0
2018-01-31,221.02,250.79,220.0,236.78,80464848.0
2018-02-28,235.26,237.82,208.48,226.16,78563087.0
2018-03-29,225.7,231.27,212.5,214.0,77681924.0
2018-04-30,218.46,241.67,214.63,236.4,72538943.0
2018-05-31,237.0,249.17,228.23,241.51,59234312.0
2018-06-29,243.74,256.73,241.29,245.34,55453967.0
2018-07-31,245.0,259.01,244.12,253.22,49242993.0
2018-08-31,256.1,270.17,252.23,268.46,47632697.0
2018-09-28,268.0,271.16,257.4828,266.04,53229183.0
2018-10-31,267.25,272.81,253.32,261.35,84594810.0
2018-11-30,262.92,285.45,258.28,281.36,74855147.0
2018-12-31,283.0,287.94,231.81,249.12,88903868.0
2019-01-31,245.0,272.44,236.13,270.2,82837918.0
2019-02-28,268.47,272.49,239.15,242.22,77373218.0
2019-03-29,243.56,259.25,234.51,247.26,101321079.0
2019-04-30,249.71,250.2,208.07,233.07,173460764.0
2019-05-31,233.07,251.18,227.18,241.8,101176377.0
2019-06-28,241.49,253.49,234.83,244.01,72928655.0
2019-07-31,245.95,268.69,239.54,249.01,82532528.0
2019-08-30,249.19,251.58,220.78,234.0,77474956.0
2019-09-30,231.74,236.56,213.12,217.32,88063142.0
2019-10-31,219.19,255.72,212.08,252.7,109184046.0
2019-11-29,253.99,283.0,249.09,279.87,72478136.0
2019-12-31,281.78,300.0,273.85,293.98,60274999.0
2020-01-31,293.98,302.54,271.18,272.45,84096898.0
2020-02-28,275.13,306.71,245.3,254.96,94507652.0
2020-03-31,257.34,295.84,187.72,249.38,189391290.0
2020-04-30,238.69,304.0,226.03,292.47,104200450.0
2020-05-29,288.39,309.66,275.56,304.85,86546932.0
2020-06-30,304.02,315.84,273.71,294.95,85388092.0
2020-07-31,295.83,310.97,287.1,302.78,61193416.0
2020-08-31,303.59,324.57,299.2,312.55,57139772.0
2020-09-30,310.16,323.82,289.64,311.77,59491725.0
2020-10-30,312.91,335.65,299.6,305.14,57918602.0
2020-11-30,312.64,367.95,307.36,336.34,74426741.0
2020-12-31,344.77,354.1,329.4,350.68,63854874.0
2021-01-29,351.45,367.49,329.01,333.58,63101362.0
2021-02-26,335.03,344.6385,320.35,332.22,68431649.0
2021-03-31,334.36,380.5,332.67,372.07,79604224.0
