,1. open,2. high,3. low,4. close,5. volume
2020-02-28,199.94,214.17,172.98,181.76,199776179.0
2020-03-31,186.32,194.49,133.93,161.12,417542977.0
2020-04-30,156.32,182.25,150.6,178.72,263495312.0
2020-05-29,174.45,198.29,171.72,195.24,189585116.0
2020-06-30,194.71,202.18,186.21,193.17,192103395.0
2020-07-31,193.85,200.95,187.18,190.4,168844674.0
2020-08-31,191.8,216.16,190.08,211.99,161589042.0
2020-09-30,212.21,217.35,193.13,199.97,176375547.0
2020-10-30,202.21,207.97,179.23,181.71,172181178.0
2020-11-30,184.51,217.65,183.89,210.35,156651025.0
2020-12-31,212.13,220.39,204.5,218.73,178457456.0
2021-01-29,220.25,220.25,192.81,193.25,198356580.0
2021-02-26,195.14,220.53,195.02,212.39,196654813.0
2021-03-31,214.97,228.2298,205.78,211.73,228910433.0
2021-04-30,213.784,237.5,212.3,233.56,152922449.0
2021-05-28,234.05,235.74,220.31,227.3,127250043.0
2021-06-30,229.44,238.48,226.28,233.82,151631040.0
2021-07-30,234.2,252.67,234.0499,246.39,157809397.0
2021-08-31,246.24,247.83,228.66,229.1,148464103.0
2021-09-30,229.1,233.33,216.31,222.75,175674100.0
2021-10-29,224.17,236.96,208.54,211.77,170235962.0
2021-11-30,213.49,221.61,192.55,193.77,303787625.0
2021-12-31,196.03,219.73,190.1,216.71,189072557.0
2022-01-31,217.52,228.12,195.65,226.17,224640154.0
2022-02-28,226.9,235.85,201.45,216.12,171668723.0
2022-03-31,214.48,228.81,186.67,221.77,188732371.0
2022-04-29,223.08,229.24,201.1,213.13,151474586.0
2022-05-31,211.77,214.8,189.95,212.17,171858850.0
2022-06-30,212.05,217.58,185.91,196.89,128123527.0
2022-07-29,196.79,218.07,194.14,212.11,118596952.0
2022-08-31,208.45,217.61,198.64,198.71,130178837.0
2022-09-30,198.72,207.19,174.83,177.65,142695269.0
2022-10-31,179.34,211.5186,174.6,207.16,160731037.0
2022-11-30,208.91,217.0,193.325,217.0,157870621.0
2022-12-30,217.0,219.98,202.13,207.76,136792052.0
2023-01-31,209.28,232.84,206.16,230.21,127619342.0
2023-02-28,229.37,234.3,217.46,219.94,94455254.0
2023-03-31,219.46,227.415,208.76,225.46,167774878.0
2023-04-28,225.23,235.568,224.12,232.73,118739456.0
2023-05-31,232.87,234.81,216.14,221.03,127679040.0
2023-06-30,222.73,238.28,221.02,237.48,155907795.0
2023-07-31,237.0,245.37,227.68,237.73,113728159.0
2023-08-31,237.14,248.23,235.245,245.68,101039844.0
2023-09-29,247.47,250.06,227.92,230.01,114067011.0
2023-10-31,229.24,241.48,227.78,235.1,129131729.0
2023-11-30,236.14,256.77,235.68,256.68,131301979.0
2023-12-29,255.79,263.25,252.14,260.35,109858878.0
2024-01-31,259.61,279.99,256.86,273.26,120303881.0
2024-02-29,273.39,286.13,272.763,282.64,101435733.0
2024-03-28,283.2,290.96,276.16,279.08,122609423.0
2024-04-30,280.36,283.0,268.29,268.61,147676197.0
2024-05-31,268.15,282.38,266.5,272.46,171405032.0
2024-06-28,273.09,280.39,261.25,262.47,180293588.0
2024-07-31,263.79,273.62,252.7,265.67,163927316.0
2024-08-30,266.33,276.99,254.51,276.37,190347114.0
2024-09-30,276.37,293.07,268.23,274.95,166260002.0
2024-10-31,276.97,296.34,273.24,289.85,128711760.0
2024-11-29,288.49,316.37,287.19,315.08,116981793.0
2024-12-31,316.9,321.615,306.64,316.04,131686965.0
2025-01-31,317.78,351.2499,303.84,341.8,118041565.0
2025-02-28,340.0,364.0,339.24,362.71,117973471.0
2025-03-21,363.0,366.54,326.3808,335.66,123513358.0
