,1. open,2. high,3. low,4. close,5. volume
2008-02-29,63.31,64.09,61.36,61.96,218925600.0
2008-03-31,62.14,65.81,61.17,64.87,259617600.0
2008-04-30,65.0,67.74,64.51,67.09,221952400.0
2008-05-30,67.13,68.32,64.54,66.74,219962000.0
2008-06-30,66.55,67.1,63.1,64.34,228287700.0
2008-07-31,63.75,69.25,63.74,68.47,308621600.0
2008-08-29,68.5,71.9,67.93,70.43,224063800.0
2008-09-30,71.09,72.76,66.9,69.28,367504200.0
2008-10-31,69.07,69.07,52.06,61.34,640425500.0
2008-11-28,61.49,63.01,54.49,58.58,375653400.0
2008-12-31,57.66,60.25,54.95,59.83,315194900.0
2009-01-30,60.13,61.0,55.09,57.69,349391400.0
2009-02-27,57.41,59.13,49.94,50.0,308348500.0
2009-03-31,49.0,53.7,46.25,52.6,423319700.0
2009-04-30,52.3,54.13,50.12,52.36,306396300.0
2009-05-29,52.53,56.48,51.67,55.16,257261500.0
2009-06-30,55.75,57.23,54.54,56.8,301738000.0
2009-07-31,56.82,62.47,55.71,60.89,270356100.0
2009-08-31,61.16,61.49,59.5,60.44,211869300.0
2009-09-30,60.35,61.54,59.28,60.89,197460800.0
2009-10-30,60.93,62.74,58.78,59.05,280297200.0
2009-11-30,59.15,63.44,58.8,62.84,233417400.0
2009-12-31,62.95,65.41,62.95,64.41,212286400.0
2010-01-29,64.71,65.95,62.22,62.86,245125300.0
2010-02-26,63.26,64.7,61.89,63.0,213341500.0
2010-03-31,63.27,65.49,63.02,65.2,249947500.0
2010-04-30,65.37,66.2,64.21,64.3,235860700.0
2010-05-28,65.16,65.62,58.19,58.3,357775800.0
2010-06-30,58.21,60.15,57.55,59.06,313888500.0
2010-07-30,59.07,61.73,56.86,58.09,310708000.0
2010-08-31,58.5,60.25,56.99,57.02,239384600.0
2010-09-30,57.67,62.7,57.44,61.96,209239500.0
2010-10-29,62.09,64.23,61.3,63.74,208721800.0
2010-11-30,63.88,64.92,61.25,61.55,221392600.0
2010-12-31,62.18,63.16,61.56,61.85,212152900.0
2011-01-31,62.63,63.54,59.69,59.77,257253400.0
2011-02-28,59.7,61.45,59.36,61.44,199932400.0
2011-03-31,61.25,61.5,57.5,59.25,241612737.0
2011-04-29,59.63,65.975,59.06,65.72,270819500.0
2011-05-31,65.92,67.37,64.8,67.29,270892200.0
2011-06-30,67.02,67.36,64.69,66.52,231770300.0
2011-07-29,66.48,68.05,64.13,64.79,202614600.0
2011-08-31,65.28,66.23,59.08,65.8,491488700.0
2011-09-30,65.66,66.14,61.0,63.69,264862000.0
2011-10-31,63.65,65.86,60.83,64.39,251590300.0
2011-11-30,63.68,65.49,61.05,64.72,236914800.0
2011-12-30,64.68,66.315,62.85,65.58,210285200.0
2012-01-31,65.59,66.0,64.34,65.91,212136100.0
2012-02-29,65.97,66.32,64.02,65.08,192370000.0
2012-03-30,65.11,66.18,64.12,65.96,208163900.0
2012-04-30,66.04,66.3,62.76,65.1,229665900.0
2012-05-31,64.91,65.485,62.0,62.43,278010100.0
2012-06-29,62.04,67.7,61.71,67.56,451142100.0
2012-07-31,67.42,69.7,67.0,69.22,273347200.0
2012-08-31,69.48,69.75,66.85,67.43,224101500.0
2012-09-28,67.49,69.64,66.97,68.91,200224200.0
2012-10-31,68.92,72.74,67.8,70.82,267146700.0
2012-11-30,71.1,71.9,68.51,69.73,211662500.0
2012-12-31,69.8,71.62,69.175,70.1,232603000.0
2013-01-31,71.02,74.8,70.3,73.92,196795059.0
2013-02-28,74.14,77.02,73.56,76.11,177978400.0
2013-03-28,75.79,81.59,75.73,81.53,193396300.0
2013-04-30,81.39,85.89,80.31,85.23,218722300.0
2013-05-31,84.5,89.99,83.88,84.18,220724300.0
2013-06-28,84.28,87.8224,82.12,85.86,210552200.0
2013-07-31,85.72,94.42,85.5,93.5,200315600.0
2013-08-30,94.16,94.4,85.85,86.41,204260800.0
2013-09-30,86.89,90.72,86.0,86.69,158876500.0
2013-10-31,86.59,93.45,85.5,92.61,173024000.0
2013-11-29,92.3801,95.99,92.28,94.66,131026200.0
2013-12-31,94.41,94.79,89.77,91.59,151086000.0
2014-01-31,91.14,95.38,88.15,88.47,192804300.0
2014-02-28,88.75,92.99,86.09,92.12,150415074.0
2014-03-31,91.13,98.6,90.83,98.23,181324400.0
2014-04-30,98.31,101.98,96.05,101.29,180242400.0
2014-05-30,100.77,101.54,98.88,101.46,124656300.0
2014-06-30,101.54,106.0,101.01,104.62,123993600.0
2014-07-31,105.15,106.74,100.05,100.09,148795100.0
2014-08-29,99.76,104.42,98.8,103.73,120163600.0
2014-09-30,103.3,108.77,103.02,106.59,130486054.0
2014-10-31,105.98,108.18,95.1,107.78,232663082.0
2014-11-28,107.83,109.49,106.6,108.25,125674760.0
2014-12-31,107.89,108.99,102.5,104.57,175580889.0
2015-01-30,105.05,106.5,100.09,100.14,195027355.0
2015-02-27,100.49,103.33,97.15,102.51,191363861.0
2015-03-31,102.86,103.41,98.22,100.6,177429841.0
2015-04-30,100.46,102.14,98.04,99.2,171541632.0
2015-05-29,99.62,104.48,98.66,100.14,143760078.0
2015-06-30,100.28,100.84,97.01,97.46,170008492.0
2015-07-31,98.3,101.36,96.64,100.21,151829212.0
2015-08-31,100.0,101.0,81.79,93.98,194750801.0
2015-09-30,92.27,96.19,89.9,93.35,201657631.0
2015-10-30,93.43,102.12,91.76,101.03,191792688.0
2015-11-30,101.18,103.0,99.74,101.24,126157452.0
2015-12-31,101.73,105.49,100.31,102.72,161973865.0
2016-01-29,101.71,104.75,94.28,104.44,211264010.0
2016-02-29,103.61,106.92,99.78,105.21,201534921.0
2016-03-31,105.9,109.56,105.44,108.2,172912906.0
2016-04-29,108.0,114.19,107.69,112.08,158171281.0
2016-05-31,112.22,115.0,111.7,112.69,141092715.0
2016-06-30,112.57,121.41,112.07,121.3,167568126.0
2016-07-29,121.54,126.07,120.79,125.23,124602401.0
2016-08-31,125.31,125.9,118.33,119.34,138567506.0
2016-09-30,119.19,119.97,117.0434,118.13,130379636.0
2016-10-31,118.0,120.1955,112.99,115.99,140052892.0
2016-11-30,114.76,122.5,111.3,111.3,171881719.0
2016-12-30,111.36,117.3,109.32,115.21,138043546.0
2017-01-31,115.78,117.0,110.76,113.25,143309802.0
2017-02-28,112.48,122.88,112.47,122.21,133813250.0
2017-03-31,122.49,129.0,122.39,124.55,166552677.0
2017-04-28,124.73,125.81,120.95,123.47,106085365.0
2017-05-31,123.4,128.8,122.34,128.25,111435425.0
2017-06-30,128.32,137.0,128.12,132.29,143335525.0
2017-07-31,132.79,137.08,129.5711,132.72,105498131.0
2017-08-31,133.17,134.97,130.9,132.37,103707554.0
2017-09-29,132.6,135.79,129.05,130.01,112551362.0
2017-10-31,130.16,144.3523,130.02,139.41,119394799.0
2017-11-30,139.83,141.87,136.6,139.33,92222302.0
2017-12-29,139.57,143.8,138.6,139.72,110005044.0
2018-01-31,139.66,148.32,138.1,138.19,165186233.0
2018-02-28,137.53,140.67,122.15,129.88,175166385.0
2018-03-29,129.11,135.7,124.9,128.15,147871674.0
2018-04-30,127.82,132.88,123.54,126.49,144126787.0
2018-05-31,126.32,127.61,118.62,119.62,139533228.0
2018-06-29,120.38,124.85,119.97,121.34,139906981.0
2018-07-31,121.34,132.64,120.11,132.52,145911110.0
2018-08-31,132.39,137.43,128.93,134.69,123999399.0
2018-09-28,134.69,143.13,133.44,138.17,122169102.0
2018-10-31,138.26,141.43,132.23,139.99,167966504.0
2018-11-30,140.07,148.75,139.0,146.9,152747742.0
2018-12-31,145.57,148.99,121.0,129.05,289169133.0
2019-01-31,128.13,135.19,125.0,133.08,174394739.0
2019-02-28,134.02,137.95,131.26,136.64,119454752.0
2019-03-29,137.22,140.0,135.74,139.79,137356242.0
2019-04-30,139.99,141.45,134.42,141.2,124330820.0
2019-05-31,140.95,142.35,128.52,131.15,159035154.0
2019-06-28,131.5,144.98,131.04,139.28,150884200.0
2019-07-31,140.2,142.47,127.84,130.22,159852777.0
